Species,N,Mean Flight Distance,SD
Bembix zonata,177,37,102
Anthidium florentinum males,144,61,98
Anthidium florentinum females,325,23,40
Anthidiellum breviusc,124,43,105
Megachile pilidens,69,25,24
Anthophora crassipes,41,23,31
Anthophora ochroleuca,209,17,34
Xylocopa violacea,264,65,163
Apis mellifera,301,21,34
Bombus lucorum,485,23,45
Eristalis tenax,105,32,57
Macroglossum stellatarum,575,28,55
Melanargia galathea,97,110,216
Argynnis paphia,120,168,242
Pandoriana pandora,143,159,329
Fabriciana adippe,134,95,204
Hesperia comma,105,88,122
Thymelicus acteon,81,44,88
